ID#,Date,Head,RCPT,Narration,Receipt,Payment
47,08-04-2022,Sunday School Expense,27,Food - Thanni Mathan,0,169
48,08-04-2022,Sunday School Expense,28,For buying gifts,0,1400
49,08-04-2022,Sunday School Expense,29,Food,0,400
50,09-04-2022,Donation from the Diocese Disbursed,30,Bhavana nirmanam - Kavalanikkal Abhilash,0,9400
51,09-04-2022,Miscellaneous Expenses,31,Oshana Kuruthola Vettal,0,900
52,09-04-2022,Miscellaneous Expenses,32,Kuruthola vettal kappi expenses,0,310
53,09-04-2022,Miscellaneous Expenses,33,Travel expense for kuruthola,0,300
54,09-04-2022,Repair & Maintenance,34,Generator repair,0,500
55,09-04-2022,Repair & Maintenance,120,Generator diesel vangiyath,0,3000
56,10-04-2022,Offerings for Daily Expense(C),19,Nithya chilav,5511,0
57,11-04-2022,Repair & Maintenance,36,Mailadumpara kurish paint buying,0,1580
58,11-04-2022,Travelling Expense,37,Petrol,0,700
59,12-04-2022,Repair & Maintenance,38,Generator,0,500
60,12-04-2022,STATIONARY,39,"Kiriyath, Soap",0,75
61,12-04-2022,Sunday School Expense,40,Cash for logos quiz price winners,0,180
62,13-04-2022,Miscellaneous Expenses,41,Chai for priests,0,50
63,13-04-2022,Church Feast - Expenses,42,Pesaha Kurishappam,0,1150
64,13-04-2022,Church Feast - Expenses,43,Kurishappam travel expenses,0,300
65,13-04-2022,Repair & Maintenance,44,"Spanner, Screw driver",0,553
66,13-04-2022,Travelling Expense,45,Petrol,0,700
67,13-04-2022,Donation from the Diocese Disbursed,46,Kummeniyil joy bhavana nirmanam - panikkuli for meshtiri,0,9000
68,13-04-2022,Donation from the Diocese Disbursed,47,Kummeniyil joy - mikkad,0,2400
69,13-04-2022,Church Feast - Expenses,48,T A for priests - dhyanam confession,0,2700
70,13-04-2022,Church Feast - Expenses,49,T A for priests - dhyanam,0,8000
71,13-04-2022,STATIONARY,50,Photostat,0,78
72,13-04-2022,Miscellaneous Expenses,51,Food fare to convent (dhyanam),0,700
73,13-04-2022,SOUTH INDIAN BANK - BHAVANA NIRMANAM,52,Kizhakkenath Maria bhavana nirmanam paid to davis Kallarakkal,30000,0
74,13-04-2022,Donation from the Diocese Disbursed,52,Kizhakkenath Maria bhavana nirmanam paid to davis Kallarakkal,0,30000
75,14-04-2022,Seminarian's Aid Fund,20,2825,2825,0
76,14-04-2022,Church Feast - Expenses,53,Maricha veedukalil kurishappam koduthath,0,235
77,14-04-2022,Repair & Maintenance,54,Good friday expenses,0,90
78,15-04-2022,Holy Land,21,Vishuda nadu,6000,0
79,15-04-2022,Donation/Offering for Special Purposes(C),22,Easter padakkam - kozhikottu shoby,3000,0
80,15-04-2022,Repair & Maintenance,55,For buying pasha,0,30
81,15-04-2022,Repair & Maintenance,56,Easter - kayar,0,76
82,15-04-2022,Church Feast - Expenses,57,Good friday - parihara pradhikshanam - mike set,0,5000
83,15-04-2022,Travelling Expense,58,Petrol,0,700
84,15-04-2022,Church Feast - Expenses,59,T A holy mass and confession,0,1200
85,15-04-2022,Church Feast - Expenses,60,Padakkam,0,7000
86,17-04-2022,"Offerings, Auction, Bhandaram etc-(Nercha)(C)",23,Lelam,310,0
87,17-04-2022,Offerings for Daily Expense(C),48,Nithya chilav,5932,0
88,17-04-2022,Church Feast - Expenses,62,T A Holy mass and confession,0,1200
89,19-04-2022,Sunday School Expense,63,"Visil, Ice cream",0,410
90,20-04-2022,Loans & Advances-Received,24,From vicar,10000,0
91,20-04-2022,Loans & Advances-Received,47,From vicar,7000,0
92,20-04-2022,Sunday School Expense,64,Gifts,0,875
93,20-04-2022,Donation from the Diocese Disbursed,65,Kaavalanikkal Abhilash Bhavana Nirmanam - kuuli to meshthiri,0,4000
94,20-04-2022,Rev. Fr. Vicar,67,To fr scaria vekathanam,0,6000
95,20-04-2022,Seminarian's Aid Fund,68,Seminarians aid,0,3000
96,20-04-2022,Hunger & Disease,69,Vishappinum rogathinu ethire,0,2500
97,20-04-2022,A.K.C.C. Fund,70,AKCC,0,2000
98,20-04-2022,Justice Sunday,71,Justice Sunday,0,2000
99,20-04-2022,Jesus Fraternity,72,Jesus fund,0,1800
100,20-04-2022,Mission Syro Malabar (Preshithavaram),73,Syro malabar mission piriv,0,1500
101,20-04-2022,Holy Land,121,vishudhanadu piriv,0,6000
102,21-04-2022,SOUTH INDIAN BANK PALA,25,karinjankal siby,0,3000
103,21-04-2022,Donation from Diocese for Charity Works,25,karinjankal siby,3000,0
104,21-04-2022,SOUTH INDIAN BANK PALA,26,vengampurath shalbin,0,2500
105,21-04-2022,Donation from Diocese for Charity Works,26,vengampurath shalbin,2500,0
106,21-04-2022,Donation/Offering for Special Purposes(C),27,From Chirappurathel Saji,5000,0
107,21-04-2022,Repair & Maintenance,74,Computer repair,0,150
108,21-04-2022,Repair & Maintenance,75,Thara thudakkunna loshan,0,260
109,21-04-2022,Travelling Expense,76,Petrol,0,700
110,21-04-2022,STATIONARY,77,For buying Baptism certificate,0,110
111,21-04-2022,SOUTH INDIAN BANK PALA,78,To Karinjankal Siby,3000,0
112,21-04-2022,Donation from the Diocese Disbursed,78,To Karinjankal Siby,0,3000
113,21-04-2022,SOUTH INDIAN BANK PALA,79,To Vennampurath Shalbin,2500,0
114,21-04-2022,Donation from the Diocese Disbursed,79,To Vennampurath Shalbin,0,2500
115,21-04-2022,SOUTH INDIAN BANK PALA,80,St. Mary's - Bhavana nirmanam Kavalanikkal abhilash,5000,0
116,21-04-2022,Donation from the Diocese Disbursed,80,St. Mary's - Bhavana nirmanam Kavalanikkal abhilash,0,5000
117,21-04-2022,SOUTH INDIAN BANK PALA,81,Bhavana nirmanam kummeniyil Joy - to St. mary's,5000,0
118,21-04-2022,Donation from the Diocese Disbursed,81,Bhavana nirmanam kummeniyil Joy - to St. mary's,0,5000
119,22-04-2022,Church Feast - Collection,31,First holy communion - Renji Thottakkunnel,2000,0
120,22-04-2022,Church Feast - Collection,32,First holy communion - Mathew Thottakkunnel,2000,0
121,22-04-2022,Church Feast - Collection,33,First holy communion - Tintu Pulikkal,2000,0
122,22-04-2022,Church Feast - Collection,34,First holy communion - Manoj Vettukattil,2000,0
123,22-04-2022,Church Feast - Collection,36,First holy communion - Jojo padinjarayil,2000,0
124,22-04-2022,Church Feast - Collection,37,First holy communion - Jibi Kollappallil,2000,0
125,22-04-2022,Church Feast - Collection,38,First holy communion - Breusily Kollappallil,1500,0
126,22-04-2022,Church Feast - Expenses,88,First holy communion - Gifts,0,540
127,22-04-2022,Church Feast - Expenses,89,First holy communion - Memento,0,4550
128,22-04-2022,Church Feast - Expenses,90,"First holy communion - Mudi, Chend",0,4000
129,22-04-2022,Church Feast - Expenses,91,First holy communion - Kappi,0,470
130,22-04-2022,Church Feast - Expenses,92,First holy communion - Bible,0,245
131,22-04-2022,Church Feast - Expenses,93,"First holy communion - Japamala, Uthareeyam",0,189
132,22-04-2022,Church Feast - Expenses,94,First holy communion - Certificate,0,70
133,22-04-2022,Church Feast - Expenses,95,First holy communion - Petrol,0,300
134,22-04-2022,Church Feast - Expenses,96,First holy communion - Songs(Davis Kallarakkal),0,1000
135,22-04-2022,Church Feast - Expenses,97,First holy communion - Song (Jeena Thannikkal),0,500
136,22-04-2022,Church Feast - Expenses,98,First holy communion - Kapyar,0,1000
137,22-04-2022,Church Feast - Expenses,99,First holy communion - Vicar,0,1000
138,22-04-2022,Church Feast - Expenses,100,"First holy communion - Milk, brue",0,244
139,22-04-2022,Church Feast - Expenses,101,First holy communion - Memento,0,650
140,22-04-2022,Church Feast - Expenses,102,First holy communion - Photostat,0,65
141,23-04-2022,Miscellaneous Expenses,82,Small food to Kammatti,0,644
142,23-04-2022,Miscellaneous Expenses,83,Travel fare (food items to kammatti),0,250
143,23-04-2022,Sunday School Expense,84,Award memento,0,1400
144,23-04-2022,Donation from the Diocese Disbursed,85,Kummeniyil joy bhavana nirmanam (fare for mesthiri),0,6000
145,23-04-2022,Donation from the Diocese Disbursed,86,"Kaavananikkal Abhilash - Mesthri, Maikkad Kooli",0,5400
146,23-04-2022,Donation from the Diocese Disbursed,87,Kummeniyil Joy bhavana nirmanam - concrete slab,0,3900
147,24-04-2022,Offerings for Daily Expense(C),28,Nithya chilav,2965,0
148,25-04-2022,Donation/Offering for Special Purposes(C),29,Santhosh Thachukulam to bhavana nirmanam,1000,0
149,25-04-2022,Miscellaneous Income(C),30,Aramana pathram(prince pathiriyil),40,0
150,28-04-2022,STATIONARY,103,kappi podi,0,80
151,28-04-2022,Electricity Charges,104,Electricity,0,4004
152,29-04-2022,"Offerings, Auction, Bhandaram etc-(Nercha)(C)",39,Nercha - Church,3170,0
153,29-04-2022,"Offerings, Auction, Bhandaram etc-(Nercha)(C)",40,Nercha - Kavumkandam Kurishupalli,3744,0
154,29-04-2022,"Offerings, Auction, Bhandaram etc-(Nercha)(C)",41,Nercha - Unnimishiha kurishupalli,766,0
155,29-04-2022,Telephone & Postage,105,Mobile recharge,0,740
156,29-04-2022,Telephone & Postage,106,Mobile recharge,0,440
157,29-04-2022,Miscellaneous Expenses,107,Vayojana dhinam - gifts,0,2625
158,30-04-2022,Donation/Offering for Special Purposes(C),42,Vanchikkachalil Abin - for good friday sound system,2500,0
159,30-04-2022,Miscellaneous Income(C),43,Aramana pathram - maliyekkal Ann Maria,20,0
160,30-04-2022,Candle Offerings(C),44,Thirippanam,175,0
161,30-04-2022,Loans & Advances-Received,45,Loans from vicar,8000,0
162,30-04-2022,Loans & Advances-Received,46,Loans from vicar,10000,0
163,30-04-2022,Miscellaneous Expenses,108,Vayojana dhinam - food,0,2547
164,30-04-2022,Miscellaneous Expenses,109,"Vadaka - vallam, kannappa",0,70
165,30-04-2022,Miscellaneous Expenses,110,Diesel fare,0,450
166,30-04-2022,Repair & Maintenance,111,"Thumbakkai, Vakkathi etc",0,660
167,30-04-2022,STATIONARY,112,Vishudha vaara pusthakangal,0,630
168,30-04-2022,Travelling Expense,113,Petrol,0,500
169,30-04-2022,Repair & Maintenance,114,LED bulb,0,100
170,30-04-2022,Repair & Maintenance,115,Tile work - chelakkad santhosh,0,6000
171,30-04-2022,Rev. Fr. Vicar,116,Fr Scaria Vekathanam,0,6000
172,30-04-2022,Accountant,117,Jose Kozhikottu,0,2500
173,30-04-2022,Sacristian,118,Kapyar,0,6000
174,30-04-2022,Sweeper,119,Thuuppukooli,0,4500
175,01-05-2022,Offerings for Daily Expense(C),49,Nithya chilav,3137,0
176,01-05-2022,Repair & Maintenance,122,Organ repair,0,100
177,01-05-2022,Repair & Maintenance,123,Pathiriyil saali panikkooli,0,300
178,02-05-2022,Parish Hall Charges Collected(C),50,Vanchikkachali Michael,8000,0
179,02-05-2022,Miscellaneous Income(C),51,Parish hall puram panthal - Vanchikkachalil michael,500,0
180,02-05-2022,Marriage Offerings (Passaram)(C),52,Pasaram varav - Vanchikkachalil michael,2000,0
181,02-05-2022,Charges from Church Articles,53,generator,1000,0
182,02-05-2022,Charges from Church Articles,54,Video charge,1000,0
183,02-05-2022,Offerings for Special Purpose(D),55,Michael - veedupanikk sambhavana,7000,0
184,02-05-2022,Donation/Offering for Special Purposes(C),56,Michael - veedupanikk sambhavana,10000,0
185,02-05-2022,Repair & Maintenance,124,Gas kutti,0,1020
186,04-05-2022,Sunday School Expense,127,Tour vehicle parking (225+50),0,275
187,04-05-2022,Sunday School Expense,128,Tour - food expenses,0,599
188,04-05-2022,Sunday School Expense,129,Vallarpadam parking,0,245
189,04-05-2022,Sunday School Expense,130,Drinking water,0,40
190,04-05-2022,Sunday School Expense,131,Lulu parking,0,150
191,04-05-2022,Sunday School Expense,132,Boat journey fees,0,3500
192,04-05-2022,Sunday School Expense,133,Diesel fare,0,5000
193,04-05-2022,Sunday School Expense,134,Bus fare,0,7000
194,05-05-2022,Parish Hall Charges Collected(C),57,Thottakkunnel Albin,8000,0
195,05-05-2022,Charges from Church Articles,58,Video charge,1000,0
196,05-05-2022,Marriage Offerings (Passaram)(C),59,Pasaram varav - Thottakkunnel Albin,2000,0
197,05-05-2022,Donation/Offering for Special Purposes(C),60,Alter boys tour donation,7500,0
198,05-05-2022,Donation/Offering for Special Purposes(C),61,Alter boys tour donation,5000,0
199,05-05-2022,Donation/Offering for Special Purposes(C),62,Tour donation by Arakkakkandathil Abin,2000,0
200,05-05-2022,STATIONARY,125,Marriage certificate vaangiya chilav,0,110
201,05-05-2022,Sunday School Expense,126,Food - Thanni Mathan,0,97
202,07-05-2022,Sunday School Expense,135,Photo frame,0,700
203,07-05-2022,Repair & Maintenance,136,Tile vangiyath,0,3770
204,08-05-2022,Offerings for Daily Expense(C),63,Nithya chilav,3288,0
205,08-05-2022,"Offerings, Auction, Bhandaram etc-(Nercha)(C)",64,kozhi leelam(250+250),500,0
206,08-05-2022,Repair & Maintenance,137,Vanakkamasam kasera kondupoyath,0,200
207,08-05-2022,Sunday School Expense,138,Alter boys and parents meeting - Milk,0,100
208,09-05-2022,Church Articles & Vestments,139,Generator diesel vangiyath,0,2000
209,11-05-2022,Charges from Church Articles,65,Video - Amal pallippadikkal,500,0
210,11-05-2022,Repair & Maintenance,140,Tile work - chelakkad santhosh,0,5800
211,11-05-2022,Travelling Expense,141,PETROL,0,700
212,11-05-2022,"Wine,Candle, Host, ,Incense Etc.",142,Osthi vangiyath,0,300
213,12-05-2022,"Wine,Candle, Host, ,Incense Etc.",66,"Osthi, thiri - Andukudiyil Shaji donation",1000,0
214,12-05-2022,Repair & Maintenance,143,Cement 1 chakk,0,412
215,12-05-2022,Repair & Maintenance,144,Auto fare cement,0,130
216,12-05-2022,"Wine,Candle, Host, ,Incense Etc.",145,"Osthi, thiri, kunthurukkam",0,2435
217,12-05-2022,Repair & Maintenance,146,Fly stick - eecha,0,30
218,12-05-2022,STATIONARY,147,STATIONARY,0,300
219,12-05-2022,Repair & Maintenance,148,For buying OTG cable,0,100
220,12-05-2022,STATIONARY,149,Soda,0,200
221,13-05-2022,Repair & Maintenance,150,Wiring work fare,0,1500
222,13-05-2022,Repair & Maintenance,151,"Wire, Tube thudangiyava vaangiya chilav",0,4187
223,13-05-2022,STATIONARY,152,STATIONARY,0,230
224,13-05-2022,STATIONARY,153,Sanyatha koottaimakk bakery items,0,458
225,13-05-2022,Repair & Maintenance,154,For buying Fish food,0,57
226,13-05-2022,Travelling Expense,155,PETROL,0,700
227,13-05-2022,Repair & Maintenance,156,Tile work fare,0,2000
228,13-05-2022,Travelling Expense,157,PETROL,0,300
229,13-05-2022,STATIONARY,158,"Fr. Joseph Felix chirappurathel Jubilee - gift, ponnada",0,1525
230,15-05-2022,Family Aid Fund,67,Family apostholic piriv varav,3000,0
231,15-05-2022,"Offerings, Auction, Bhandaram etc-(Nercha)(C)",68,kozhi leelam,300,0
232,15-05-2022,"Offerings, Auction, Bhandaram etc-(Nercha)(C)",69,Paavakka leelam,50,0
233,15-05-2022,"Offerings, Auction, Bhandaram etc-(Nercha)(C)",70,Pachakkari leelam,35,0
234,16-05-2022,SOUTH INDIAN BANK PALA,71,Krushi kanakk varav,0,50000
235,16-05-2022,Advance from Agriculture Account,71,Krushi kanakk varav,50000,0
236,16-05-2022,STATIONARY,159,"Brue, sugar",0,291
237,16-05-2022,Travelling Expense,160,Aanduthirattumayi aramanayil - diesel,0,500
238,16-05-2022,Miscellaneous Expenses,161,Anduthiratt - kappi chilav,0,98
239,16-05-2022,STATIONARY,162,Thiratt book vangiyath,0,700
240,16-05-2022,STATIONARY,163,"Book, pen, calculator, brown paper",0,1035
241,16-05-2022,Repair & Maintenance,164,Tile idunnathinu vangiyath - vehicle fare,0,550
242,16-05-2022,Repair & Maintenance,165,"Milk, boli",0,147
243,17-05-2022,SOUTH INDIAN BANK PALA,72,Check from bank,0,75000
244,17-05-2022,bank s/b withdrawal,72,Check from bank,75000,0
245,17-05-2022,STATIONARY,166,"Stapler pin, cello tape",0,37
246,17-05-2022,STATIONARY,167,"Kontha, gifts",0,280
247,17-05-2022,Travelling Expense,168,PETROL,0,700
248,17-05-2022,Repair & Maintenance,169,Food,0,320
249,17-05-2022,SOUTH INDIAN BANK PALA,170,Aramana fees,75000,0
250,17-05-2022,Cathedraticum Fees to the Diocese(D),170,Aramana fees,0,75000
251,20-05-2022,Family Aid Fund,171,Family apostholic piriv aramanayil koduthath,0,3000
252,21-05-2022,Sunday School Expense,172,Sunday school teachers tour travel fare,0,6800
253,21-05-2022,Sunday School Expense,173,Tour - visitors fees at fam,0,1000
254,21-05-2022,Sunday School Expense,174,Tour - food expenses,0,826
255,22-05-2022,Offerings for Daily Expense(C),73,Nithya chilav,4080,0
256,23-05-2022,SOUTH INDIAN BANK PALA,74,Cheque varav,0,20000
257,23-05-2022,bank s/b withdrawal,74,Cheque varav,20000,0
258,23-05-2022,Repair & Maintenance,175,"Organ stant, pen drive",0,1300
259,23-05-2022,SOUTH INDIAN BANK PALA,176,Cheenkallel Ambily - veedupanikk aramanayil ninn kittiya sahayam electric kadayil koduthath,20000,0
260,23-05-2022,Donation from the Diocese Disbursed,176,Cheenkallel Ambily - veedupanikk aramanayil ninn kittiya sahayam electric kadayil koduthath,0,20000
261,23-05-2022,CHARITY,177,Chemmalamattam pallikk coupon donation,0,5000
262,23-05-2022,Electricity Charges,178,kavumkandam kurishupalli - electricity charges,0,310
263,24-05-2022,"Offerings, Auction, Bhandaram etc-(Nercha)(C)",75,Palliyile nercha varav (4570+259),4829,0
264,24-05-2022,"Offerings, Auction, Bhandaram etc-(Nercha)(C)",76,kavumkandam kurishupalli,4303,0
265,24-05-2022,"Offerings, Auction, Bhandaram etc-(Nercha)(C)",77,Nercha - Unnimishiha kurishupalli,439,0
266,24-05-2022,"Offerings, Auction, Bhandaram etc-(Nercha)(C)",78,Uyarpp roopam nerchappetti,260,0
267,24-05-2022,Electricity Charges,179,ELECTRICITY - unnimishiha kurishupalli,0,210
268,24-05-2022,Electricity Charges,180,ELECTRICITY - Church,0,3680
269,25-05-2022,Parish Hall Charges Collected(C),79,Thayyil pappan,10000,0
270,25-05-2022,Marriage Offerings (Passaram)(C),80,Pasaram - Thayyil pappan,3000,0
271,25-05-2022,Donation/Offering for Special Purposes(C),81,Motor maintains,7000,0
272,25-05-2022,Charges from Church Articles,86,Video,1000,0
273,25-05-2022,Repair & Maintenance,181,"Mike nte pin, cable etc. vaangi fit cheythath",0,4325
274,27-05-2022,SOUTH INDIAN BANK PALA,82,Agricultural profit to bank,0,40000
275,27-05-2022,Advance from Agriculture Account,82,Agricultural profit to bank,40000,0
276,27-05-2022,Parish Hall Charges Collected(C),83,Thayyil Thankachan,10000,0
277,27-05-2022,Marriage Offerings (Passaram)(C),84,Passaram - Thayyil Thankachan,3000,0
278,27-05-2022,Donation/Offering for Special Purposes(C),85,Sunday school tour,7000,0
279,27-05-2022,Repair & Maintenance,182,Hand wash,0,110
280,27-05-2022,Repair & Maintenance,183,Fly stick - eecha,0,45
281,27-05-2022,Telephone & Postage,184,PHONE RECHARGE,0,540
282,27-05-2022,Travelling Expense,185,PETROL,0,700
283,27-05-2022,Rev. Fr. Vicar,186,Fr. Scaria vekathanam,0,6000
284,27-05-2022,Miscellaneous Expenses,187,Palli kammatti kappi,0,1180
285,27-05-2022,Sunday School Expense,188,Kappi,0,360
286,27-05-2022,Sunday School Expense,189,Gift,0,580
287,27-05-2022,STATIONARY,190,Mathavinte vanakkamaasa pusthakam,0,45
288,29-05-2022,Offerings for Daily Expense(C),87,Nithya chilav,3295,0
289,30-05-2022,SOUTH INDIAN BANK PALA,88,Fr. Joseph Felix chirappurathel - Alter boys fund,0,100000
290,30-05-2022,Donation/Offering for Special Purposes(C),88,Fr. Joseph Felix chirappurathel - Alter boys fund,100000,0
291,30-05-2022,Travelling Expense,191,Petrol,0,800
292,31-05-2022,Church Feast - Collection,89,Mathavinte vanakkamaasam snehavirunn donation - Raju kozhikottu,1500,0
293,31-05-2022,Church Feast - Collection,90,Mathavinte vanakkamaasam snehavirunn donation - Sabu Vadhyanathil,1000,0
294,31-05-2022,Church Feast - Collection,91,Mathavinte vanakkamaasam snehavirunn donation - Biju kozhikottu,1000,0
295,31-05-2022,Church Feast - Collection,92,Mathavinte vanakkamaasam snehavirunn donation - Georgekutty valyath,1000,0
296,31-05-2022,Church Feast - Collection,93,Mathavinte vanakkamaasam snehavirunn donation - Tom kozhikottu,1000,0
297,31-05-2022,Church Feast - Collection,94,Mathavinte vanakkamaasam snehavirunn donation - Somy Urumbukattu,500,0
298,31-05-2022,Church Feast - Collection,95,"Alpin, Bipin eroorickal",1500,0
299,31-05-2022,Church Feast - Collection,96,Mathavinte vanakkamaasam snehavirunn donation - Thankachan perumpuzhayil,1000,0
300,31-05-2022,Church Feast - Collection,97,Mathavinte vanakkamaasam snehavirunn donation - Joby Mattam(manathoor),1000,0
301,31-05-2022,Church Feast - Expenses,98,Mathavinte vanakkamaasam snehavirunn donation - Lissy Mannor,500,0
302,31-05-2022,Church Feast - Collection,99,Mathavinte vanakkamaasam snehavirunn donation - Santhosh Thachukulath,2250,0
303,31-05-2022,Candle Offerings(C),100,Thirippanam,200,0
304,31-05-2022,STATIONARY,192,Marker,0,20
305,31-05-2022,Repair & Maintenance,193,Generator diesel,0,2500
306,31-05-2022,Repair & Maintenance,194,Thumba kaachiyathinu,0,80
307,31-05-2022,Miscellaneous Expenses,195,"Kaikkaranmarude sent off- food, travel fares",0,2450
308,31-05-2022,Church Feast - Expenses,196,Appam vangiyath,0,2250
309,31-05-2022,Church Feast - Expenses,197,"Plate, glass",0,580
310,31-05-2022,Church Feast - Expenses,198,Chicken,0,4327
311,31-05-2022,Church Feast - Expenses,199,"Chicken masala, savola, ulli etc",0,580
312,31-05-2022,Church Feast - Expenses,200,auto fare for cooking materials,0,200
313,31-05-2022,Rev. Fr. Vicar,201,Vicar allowances,0,6000
314,31-05-2022,Accountant,202,Accountant allowance,0,2500
315,31-05-2022,Sacristian,203,Sacristian allowance,0,6000
316,31-05-2022,Sweeper,204,Sweeper allowance,0,4500
317,01-06-2022,Repair & Maintenance,205,Thumba vaangiyath,0,700
318,01-06-2022,Repair & Maintenance,206,"Kayar, kaikkott, kalanashini vangiya chilav",0,4483
319,01-06-2022,Repair & Maintenance,207,"Plastic kutta, vallikkutta enniva vangiyathinu chilav",0,820
320,01-06-2022,Travelling Expense,208,Petrol,0,700
321,02-06-2022,"Wine,Candle, Host, ,Incense Etc.",209,Osthi vangiyath,0,550
322,02-06-2022,Travelling Expense,210,Petrol - bike,0,400
323,03-06-2022,SOUTH INDIAN BANK PALA,101,Best alter girl award by Fr. Joseph felix chirappurathel,0,40000
324,03-06-2022,FD Best Alter boy and girl,101,Best alter girl award by Fr. Joseph felix chirappurathel,40000,0
325,03-06-2022,SOUTH INDIAN BANK PALA,102,Best outgoing student award by Fr. Joseph felix chirappurathel,0,60000
326,03-06-2022,FD Sunday School,102,Best outgoing student award by Fr. Joseph felix chirappurathel,60000,0
327,03-06-2022,STATIONARY,211,Stationary,0,99
328,03-06-2022,Repair & Maintenance,212,Motor maintains,0,4300
329,03-06-2022,Repair & Maintenance,213,Celling fan repair,0,150
330,03-06-2022,STATIONARY,214,30/5 il kanakk book vangiyathinu chilav,0,150
331,05-06-2022,Offerings for Daily Expense(C),103,Nithya chilav,4515,0
332,05-06-2022,STATIONARY,215,Milk,0,72
333,05-06-2022,Sunday School Expense,216,SWEETS,0,300
334,05-06-2022,Travelling Expense,217,PETROL,0,200
335,05-06-2022,Sunday School Expense,218,Mixture vangiyathinu chilav,0,120
336,06-06-2022,Repair & Maintenance,225,"Motor maintains (Jose, Kunj augusthy)",0,1600
337,06-06-2022,Repair & Maintenance,226,Travelling expense for bringing pipes from Ramapuram,0,230
338,07-06-2022,Repair & Maintenance,219,Plumbing wages - Shinu Pattupara,0,2000
339,07-06-2022,Repair & Maintenance,220,Plumbing sadhanangal vangiya chilav,0,320
